ai_task,base_model,hardware,cloud_region,dataset_size,epochs,carbon_footprint,training_time,performance_score,failure_risk
Computer Vision,ResNet-101,NVIDIA A100,us-west-2,7000,25,8.4,15.7,91.6,Low
Computer Vision,ViT-Base,NVIDIA V100,ap-southeast-1,12000,30,45.6,38.2,89.8,Medium
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-west-2,8000,28,21.3,24.6,92.4,Medium
Speech Recognition,BERT-base,TPU v4,ap-southeast-1,2500,14,3.1,6.8,87.3,Low
Speech Recognition,BERT-large,NVIDIA A100,us-east-1,6000,16,7.2,12.8,90.5,Low
Speech Recognition,ViT-Base,NVIDIA V100,eu-west-3,5000,20,18.9,22.4,86.9,Medium
Recommendation,BERT-base,NVIDIA V100,eu-west-3,2000,10,3.4,6.2,86.1,Low
Recommendation,BERT-large,TPU v4,us-west-2,5000,18,4.7,9.8,90.7,Low
Recommendation,ResNet-50,NVIDIA A100,ap-southeast-1,3500,22,8.9,14.3,88.6,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-1,6000,25,15.7,19.8,89.9,Medium
NLP,BERT-base,NVIDIA V100,eu-west-3,800,6,1.2,2.8,83.9,Low
NLP,BERT-large,NVIDIA A100,us-west-2,12000,18,14.8,21.6,93.2,Low
Computer Vision,ResNet-50,NVIDIA A100,ap-southeast-1,4000,22,9.8,16.4,90.8,Low
Computer Vision,ResNet-101,TPU v4,eu-west-3,9000,32,12.4,22.7,94.1,Medium
Speech Recognition,BERT-base,NVIDIA RTX 4090,us-west-2,3500,18,8.9,12.4,87.8,Low
Speech Recognition,BERT-large,NVIDIA V100,eu-west-1,5500,20,16.7,24.8,89.2,Medium
Recommendation,BERT-base,TPU v4,eu-west-3,1800,14,1.8,4.2,87.6,Low
NLP,GPT-3.5,NVIDIA RTX 4090,us-east-1,60000,35,189.4,98.7,94.6,High
Computer Vision,ViT-Base,NVIDIA A100,eu-west-3,11000,26,13.2,19.8,93.7,Low
Speech Recognition,ViT-Base,TPU v4,us-west-2,4500,16,5.4,8.9,89.4,Low
Recommendation,ResNet-101,NVIDIA A100,eu-west-1,4500,20,6.8,11.2,90.3,Low
NLP,BERT-base,NVIDIA RTX 4090,ap-southeast-1,2500,15,7.8,9.6,86.2,Medium
Computer Vision,ResNet-50,NVIDIA V100,eu-west-3,3200,24,8.9,14.7,88.1,Low
Speech Recognition,BERT-base,NVIDIA A100,ap-southeast-1,2800,12,6.7,8.4,88.9,Low
Recommendation,BERT-large,NVIDIA V100,us-west-2,3800,16,12.4,18.9,87.4,Medium
NLP,BERT-large,NVIDIA RTX 4090,eu-west-3,9500,22,18.7,28.4,91.8,Medium
Computer Vision,ResNet-101,NVIDIA V100,us-west-2,6500,28,28.9,35.6,90.2,Medium
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-1,5200,18,11.8,15.7,91.2,Low
Recommendation,ViT-Base,TPU v4,ap-southeast-1,7200,24,8.9,12.6,90.8,Low
NLP,GPT-3.5,TPU v4,us-west-2,80000,45,167.8,89.4,95.8,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,9500,30,34.7,32.8,91.6,Medium
Speech Recognition,BERT-large,TPU v4,us-east-1,6800,22,7.8,14.2,92.1,Low
Recommendation,ResNet-50,TPU v4,eu-west-3,2900,16,3.2,6.8,89.1,Low
NLP,BERT-base,CPU,eu-west-1,1200,10,4.2,38.7,74.6,High
Computer Vision,ResNet-50,CPU,us-west-2,1800,18,6.8,72.4,71.2,High
Speech Recognition,BERT-base,CPU,ap-southeast-1,2200,14,8.9,56.8,73.8,High
Recommendation,BERT-base,CPU,eu-west-3,1600,12,3.8,42.1,75.9,High
NLP,BERT-large,CPU,us-west-2,4200,12,18.9,98.7,68.4,High
Computer Vision,ResNet-101,CPU,eu-west-1,3500,20,14.7,124.8,69.8,High
Speech Recognition,BERT-large,CPU,us-east-1,3800,16,21.4,87.6,70.2,High
Recommendation,ResNet-50,CPU,ap-southeast-1,2400,18,9.8,78.9,72.1,High
NLP,ViT-Base,NVIDIA A100,eu-west-3,6500,20,7.8,12.4,89.7,Low
Computer Vision,BERT-base,NVIDIA A100,us-west-2,4200,16,4.9,8.7,91.2,Low
Speech Recognition,ResNet-50,NVIDIA A100,eu-west-1,3600,18,5.2,9.8,88.4,Low
Recommendation,GPT-3.5,NVIDIA A100,ap-southeast-1,25000,28,67.8,45.6,93.8,Medium
NLP,ViT-Base,NVIDIA V100,us-east-1,5800,22,18.9,26.4,87.6,Medium
Computer Vision,BERT-large,NVIDIA V100,eu-west-3,6200,24,21.4,32.8,89.1,Medium
Speech Recognition,ResNet-101,NVIDIA V100,us-west-2,4800,20,16.7,24.6,87.9,Medium
Recommendation,GPT-3.5,NVIDIA V100,eu-west-1,22000,26,78.9,68.4,92.4,Medium
NLP,ViT-Base,NVIDIA RTX 4090,us-west-2,7200,24,18.4,21.7,88.9,Medium
Computer Vision,BERT-base,NVIDIA RTX 4090,ap-southeast-1,3800,18,12.4,14.8,87.2,Medium
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-3,4200,16,9.8,11.2,89.6,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-east-1,28000,30,98.7,72.4,93.1,High
NLP,ViT-Base,TPU v4,ap-southeast-1,8500,26,9.4,15.8,91.8,Low
Computer Vision,BERT-large,TPU v4,us-west-2,7800,28,8.9,16.7,92.6,Low
Speech Recognition,ResNet-101,TPU v4,eu-west-1,5600,22,6.8,12.4,90.8,Low
Recommendation,GPT-3.5,TPU v4,eu-west-3,32000,32,78.4,56.8,94.2,Medium
Recommendation,ResNet-101,NVIDIA V100,eu-west-1,2527,31,150,65,79.8,Medium
Computer Vision,BERT-base,TPU v4,eu-west-3,1806,27,150,65,90.4,Low
NLP,GPT-3.5,NVIDIA RTX 4090,us-east-1,2280,22,150,52.8,81,Medium
Speech Recognition,GPT-3.5,TPU v4,eu-west-3,2181,5,150,13.3,94.2,Low
Computer Vision,ResNet-50,NVIDIA V100,eu-west-1,574,18,75.3,30.4,90.9,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,eu-west-3,770,19,38.8,8.7,85.9,Low
Computer Vision,BERT-base,NVIDIA V100,ap-southeast-1,2626,34,150,65,86.1,Low
NLP,BERT-base,NVIDIA V100,ap-southeast-1,424,11,47.1,7.5,86.4,Low
Computer Vision,BERT-large,NVIDIA A100,eu-west-3,1647,11,150,17.8,91.6,Low
Speech Recognition,ResNet-101,NVIDIA A100,ap-southeast-1,2174,30,150,65,90.5,Low
NLP,ResNet-50,NVIDIA RTX 4090,eu-west-1,123,17,16.1,3,84.5,Medium
Computer Vision,ResNet-101,NVIDIA A100,eu-west-1,1732,35,150,65,87.5,Low
Computer Vision,BERT-large,NVIDIA RTX 4090,us-west-2,2287,11,146.7,44.2,83.7,Medium
Recommendation,GPT-3.5,NVIDIA A100,us-west-2,1637,27,150,65,85.8,Low
NLP,ResNet-50,NVIDIA RTX 4090,us-east-1,2879,28,150,65,94.9,Low
NLP,GPT-3.5,NVIDIA V100,us-east-1,2424,30,150,65,85.4,Low
Speech Recognition,ResNet-101,NVIDIA RTX 4090,ap-southeast-1,147,11,8.3,3,85.4,Low
Computer Vision,BERT-large,NVIDIA A100,eu-west-1,756,21,109.6,40.7,93.6,Low
Computer Vision,BERT-base,NVIDIA V100,eu-west-1,3046,29,150,65,89.9,Low
Computer Vision,GPT-3.5,TPU v4,us-west-2,295,26,94.6,18.2,90.9,Low
Speech Recognition,ResNet-101,TPU v4,eu-west-3,1225,5,51.2,11.4,90.9,Low
Recommendation,GPT-3.5,TPU v4,ap-southeast-1,2825,10,150,28.5,91.1,Low
NLP,ViT-Base,CPU,eu-west-1,200,5,5,5.1,68.1,High
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,eu-west-1,122,27,16.7,8.1,84.6,Medium
Recommendation,ResNet-50,CPU,ap-southeast-1,2406,27,143.5,65,68.6,High
NLP,BERT-large,NVIDIA RTX 4090,eu-west-3,1885,8,98.2,24.2,89.2,Low
Speech Recognition,ViT-Base,CPU,ap-southeast-1,2829,6,49,58,75,High
Recommendation,BERT-base,NVIDIA V100,us-west-2,1772,6,16,20.3,82.2,Medium
Recommendation,ResNet-101,CPU,ap-southeast-1,260,32,15.6,57.6,66.6,High
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-3,2367,6,137.4,8,91.8,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,us-west-2,1893,31,150,65,85.2,Low
Recommendation,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,1427,7,100.3,33.2,87.8,Low
Computer Vision,ViT-Base,CPU,eu-west-1,2102,32,144.4,65,77.2,High
NLP,ResNet-101,NVIDIA A100,us-east-1,424,29,136.9,19.9,92.9,Low
Computer Vision,BERT-base,NVIDIA A100,us-east-1,2358,5,62.9,12.2,97,Low
Recommendation,ResNet-101,NVIDIA A100,eu-west-3,1645,23,150,65,89.6,Low
NLP,ResNet-50,NVIDIA V100,ap-southeast-1,2088,15,150,50.9,84,Medium
Speech Recognition,ResNet-50,CPU,us-west-2,2613,12,20,65,78.4,High
NLP,ResNet-50,TPU v4,us-west-2,2691,21,150,65,91,Low
NLP,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,810,24,150,46.6,94.8,Low
Computer Vision,ResNet-101,TPU v4,us-west-2,3397,15,150,36.2,91.9,Low
Computer Vision,BERT-base,TPU v4,eu-west-3,694,15,78.1,7.1,92.5,Low
Recommendation,BERT-large,CPU,eu-west-1,1688,18,44.2,65,65,High
Speech Recognition,BERT-large,NVIDIA A100,eu-west-3,646,4,8.7,5.9,91.7,Low
Recommendation,ResNet-101,NVIDIA V100,us-west-2,2336,15,72.9,24.6,80.2,Medium
Speech Recognition,ResNet-101,TPU v4,ap-southeast-1,904,9,81.8,16.1,97,Low
Recommendation,ResNet-101,NVIDIA A100,us-east-1,1500,4,27.3,14.1,87.3,Low
NLP,BERT-base,NVIDIA V100,ap-southeast-1,1677,11,111.9,10.7,86.5,Low
Computer Vision,BERT-base,NVIDIA A100,eu-west-3,3451,27,150,65,93,Low
Computer Vision,ResNet-101,TPU v4,eu-west-1,1824,3,34.7,4.8,89.5,Low
Computer Vision,ResNet-101,NVIDIA V100,eu-west-3,343,27,52.6,18.9,87.8,Low
Computer Vision,ResNet-101,CPU,us-west-2,1489,23,58.9,65,71.7,High
Recommendation,BERT-large,NVIDIA RTX 4090,eu-west-3,455,21,113.1,18.6,87,Low
Recommendation,BERT-base,NVIDIA V100,eu-west-1,203,29,31.7,3.2,80.3,Medium
Speech Recognition,BERT-base,NVIDIA V100,ap-southeast-1,2967,27,150,65,84,Medium
Recommendation,BERT-large,NVIDIA A100,eu-west-1,1387,4,43.4,17.5,91.3,Low
Recommendation,ResNet-101,NVIDIA V100,us-east-1,2149,15,127.9,65,80.5,Medium
Computer Vision,ResNet-50,NVIDIA A100,eu-west-3,2557,34,150,65,87,Low
Speech Recognition,BERT-large,NVIDIA A100,us-west-2,1034,17,98,18.8,87.7,Low
Recommendation,ResNet-50,NVIDIA V100,us-east-1,1579,17,150,49.2,82.2,Medium
NLP,GPT-3.5,CPU,eu-west-3,2085,32,107.3,65,77.9,High
Speech Recognition,ResNet-50,NVIDIA V100,eu-west-3,2955,18,129.7,65,81.6,Medium
Speech Recognition,BERT-base,NVIDIA RTX 4090,us-east-1,2244,15,134.7,65,92.6,Low
NLP,BERT-base,TPU v4,us-west-2,2239,7,123.5,14.3,93.8,Low
Recommendation,BERT-base,NVIDIA RTX 4090,us-west-2,1936,13,150,34.9,87.2,Low
Recommendation,BERT-large,CPU,eu-west-1,1612,13,28.9,56.2,79.4,High
Recommendation,BERT-base,NVIDIA RTX 4090,eu-west-3,1114,17,80.4,43.3,74.7,High
Computer Vision,ViT-Base,TPU v4,ap-southeast-1,1508,34,150,65,93.2,Low
Computer Vision,BERT-large,NVIDIA V100,us-east-1,945,16,139.5,12.9,79.8,Medium
Recommendation,BERT-large,NVIDIA A100,eu-west-1,2923,25,150,65,88.6,Low
Speech Recognition,BERT-base,CPU,us-west-2,1712,28,38.9,65,79.3,High
NLP,ViT-Base,TPU v4,us-east-1,1237,7,30.2,9.9,97,Low
NLP,GPT-3.5,NVIDIA A100,us-east-1,2110,33,150,65,91.7,Low
Recommendation,ResNet-50,CPU,eu-west-3,1086,9,6.4,51.7,65.6,High
Computer Vision,ViT-Base,TPU v4,ap-southeast-1,2250,14,150,24.4,97,Low
Computer Vision,BERT-large,CPU,ap-southeast-1,1976,7,11.9,65,66.4,High
Computer Vision,BERT-large,TPU v4,eu-west-1,3306,25,150,65,87.4,Low
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-1,2992,4,99.1,17,85.8,Low
Computer Vision,GPT-3.5,CPU,ap-southeast-1,2913,9,74.7,65,72,High
Recommendation,ViT-Base,CPU,eu-west-3,1099,7,19.8,21.3,65,High
Recommendation,ViT-Base,CPU,us-east-1,2803,19,49.4,65,69.1,High
Recommendation,ResNet-50,TPU v4,eu-west-1,2275,30,150,50.7,89.1,Low
Computer Vision,BERT-base,TPU v4,us-east-1,2548,34,150,65,97,Low
Computer Vision,GPT-3.5,NVIDIA A100,ap-southeast-1,216,35,46,5.9,85.1,Low
Speech Recognition,ResNet-101,NVIDIA A100,eu-west-1,2935,14,150,48.2,89.2,Low
Computer Vision,GPT-3.5,CPU,us-west-2,1813,17,40.7,65,74.4,High
Recommendation,GPT-3.5,TPU v4,ap-southeast-1,1081,30,150,24.6,93.3,Low
Recommendation,GPT-3.5,CPU,us-west-2,1206,10,30.5,65,66.6,High
NLP,ViT-Base,CPU,us-east-1,679,35,49.3,65,80.1,High
NLP,ViT-Base,NVIDIA RTX 4090,eu-west-1,196,4,5,3,89.2,Low
NLP,GPT-3.5,NVIDIA A100,us-east-1,2419,32,150,65,89.7,Low
Speech Recognition,ResNet-50,CPU,us-west-2,1546,15,39.8,65,80.8,High
Computer Vision,BERT-large,NVIDIA A100,ap-southeast-1,3466,7,80.5,48.8,93.4,Low
Computer Vision,GPT-3.5,TPU v4,eu-west-1,1228,17,138.3,35.5,88.2,Low
Recommendation,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,1535,4,27,16.8,87.7,Low
NLP,BERT-base,NVIDIA A100,us-east-1,1060,27,150,65,96,Low
Computer Vision,ViT-Base,NVIDIA A100,eu-west-1,162,18,15,3,87.8,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,eu-west-3,2694,26,150,65,93.3,Low
Computer Vision,BERT-base,CPU,eu-west-3,2490,30,115.3,65,72.1,High
NLP,ResNet-50,CPU,us-east-1,1501,12,13.5,41.3,72.8,High
NLP,BERT-large,NVIDIA RTX 4090,eu-west-3,183,10,21.3,3,86.5,Low
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,eu-west-1,1050,30,150,65,96.6,Low
Recommendation,BERT-large,TPU v4,us-east-1,940,33,150,47.2,88.3,Low
Computer Vision,ResNet-50,NVIDIA V100,eu-west-3,1005,18,47.8,22,85.1,Low
Speech Recognition,BERT-base,TPU v4,us-west-2,2681,31,150,27.2,87.7,Low
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-1,350,25,27.8,25.6,87.8,Low
Recommendation,BERT-base,CPU,eu-west-1,2843,9,27.9,65,68.1,High
Computer Vision,ResNet-50,NVIDIA V100,us-west-2,2383,26,150,65,92.9,Low
NLP,GPT-3.5,TPU v4,us-west-2,2182,14,127.7,45.8,94.1,Low
NLP,ViT-Base,NVIDIA RTX 4090,eu-west-3,2129,24,150,65,90.3,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-east-1,703,19,75.8,41.7,87.5,Low
NLP,ResNet-50,CPU,us-west-2,887,30,38.4,65,79.6,High
Recommendation,BERT-base,NVIDIA V100,ap-southeast-1,2327,18,88,41.3,81.2,Medium
Computer Vision,BERT-base,NVIDIA A100,us-west-2,2053,29,150,65,92.1,Low
NLP,GPT-3.5,NVIDIA A100,eu-west-3,616,28,75.4,27.4,86.1,Low
Computer Vision,BERT-large,TPU v4,eu-west-1,636,24,150,31.5,92.9,Low
Computer Vision,ResNet-101,CPU,us-east-1,2610,35,146.2,65,72,High
NLP,BERT-base,NVIDIA V100,us-west-2,978,33,77.6,65,87.8,Low
NLP,BERT-large,NVIDIA A100,us-east-1,654,10,68.6,3.3,87,Low
Recommendation,BERT-base,NVIDIA A100,eu-west-1,2041,30,150,65,85.5,Low
NLP,BERT-base,TPU v4,ap-southeast-1,333,34,47.1,15.9,97,Low
Recommendation,ResNet-101,TPU v4,eu-west-1,316,35,94.4,11.7,87.9,Low
Recommendation,ResNet-101,NVIDIA RTX 4090,eu-west-1,254,25,27.1,9.5,79.4,Medium
Recommendation,GPT-3.5,NVIDIA V100,eu-west-1,2306,16,126.4,65,84.9,Medium
Speech Recognition,ViT-Base,NVIDIA RTX 4090,us-west-2,1171,6,36,16.8,91,Low
Recommendation,BERT-base,TPU v4,ap-southeast-1,195,17,13.1,5.4,89.4,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,1970,27,150,65,81.1,Medium
Speech Recognition,BERT-large,NVIDIA V100,us-west-2,114,17,8.6,5.1,80.1,Medium
NLP,BERT-base,NVIDIA A100,ap-southeast-1,1667,32,150,39.5,90.8,Low
Speech Recognition,BERT-base,TPU v4,ap-southeast-1,527,6,25.4,3,93.7,Low
Speech Recognition,BERT-large,NVIDIA A100,us-east-1,2393,29,150,45.7,93,Low
Recommendation,BERT-base,NVIDIA V100,us-east-1,2012,17,105.8,65,94.7,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,us-east-1,381,12,37.5,11.2,89.7,Low
NLP,BERT-base,NVIDIA A100,us-east-1,2870,28,150,65,95.1,Low
Recommendation,BERT-base,NVIDIA RTX 4090,eu-west-1,858,21,36.7,11.8,91.7,Low
Recommendation,BERT-large,NVIDIA RTX 4090,us-west-2,916,27,61.7,58.9,80.7,Medium
Computer Vision,BERT-large,NVIDIA V100,ap-southeast-1,1467,35,150,65,79.9,Medium
Computer Vision,BERT-base,CPU,us-east-1,2172,3,15.4,24,71.3,High
Computer Vision,ViT-Base,TPU v4,us-east-1,240,3,5,3,90.7,Low
NLP,ResNet-50,NVIDIA V100,us-east-1,1104,34,150,60,84.4,Medium
Computer Vision,GPT-3.5,NVIDIA A100,us-west-2,931,16,120.6,21.6,93.8,Low
Recommendation,BERT-base,NVIDIA RTX 4090,us-west-2,913,31,150,65,89.3,Low
Speech Recognition,ResNet-50,CPU,us-west-2,2071,30,86.1,65,73.3,High
NLP,BERT-large,NVIDIA RTX 4090,eu-west-1,1087,3,19.5,3,85.2,Low
Computer Vision,GPT-3.5,NVIDIA A100,eu-west-1,3135,25,150,65,92,Low
NLP,GPT-3.5,TPU v4,eu-west-1,2539,15,150,28.8,97,Low
NLP,BERT-large,TPU v4,eu-west-1,2365,35,150,65,88.4,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,eu-west-1,2794,10,150,40.4,90.6,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,ap-southeast-1,2725,16,150,65,85.4,Low
NLP,ResNet-101,TPU v4,ap-southeast-1,1012,4,21.2,4.6,97,Low
Speech Recognition,ResNet-50,NVIDIA V100,us-west-2,1535,33,150,65,83.4,Medium
Computer Vision,ResNet-101,NVIDIA A100,eu-west-1,181,6,5,3,94.4,Low
Computer Vision,ViT-Base,TPU v4,eu-west-3,3111,34,150,65,93.8,Low
Speech Recognition,BERT-base,TPU v4,us-east-1,2226,20,150,65,94.8,Low
NLP,ResNet-101,CPU,eu-west-3,1300,19,38.9,65,77.6,High
Computer Vision,ResNet-50,CPU,us-east-1,3058,9,78.2,65,73.9,High
Speech Recognition,BERT-base,CPU,eu-west-3,2927,30,150,65,71.5,High
Computer Vision,BERT-base,NVIDIA A100,us-east-1,1213,32,150,65,94.8,Low
Computer Vision,ResNet-50,TPU v4,ap-southeast-1,2181,33,150,65,93.2,Low
Recommendation,BERT-large,CPU,us-east-1,2528,3,13.9,43.6,66.9,High
NLP,BERT-base,CPU,us-west-2,2323,28,118.3,65,72.1,High
Computer Vision,BERT-base,NVIDIA V100,eu-west-3,2462,21,150,36.9,84.8,Medium
NLP,ResNet-50,NVIDIA A100,us-east-1,2719,27,150,65,84.7,Medium
Speech Recognition,ViT-Base,TPU v4,us-west-2,152,13,12.4,3.5,95.5,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-1,191,19,22.8,6.7,85.3,Low
Computer Vision,ViT-Base,NVIDIA V100,us-east-1,664,29,150,12,85,Medium
Computer Vision,BERT-large,CPU,us-west-2,2478,11,45.4,65,70.1,High
Recommendation,GPT-3.5,NVIDIA RTX 4090,eu-west-1,2987,21,150,42.1,85.5,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-west-2,2586,20,150,65,86.4,Low
Computer Vision,BERT-base,NVIDIA V100,ap-southeast-1,2674,8,42.9,26.5,91.9,Low
Computer Vision,ResNet-50,CPU,eu-west-3,2602,31,81,65,73.9,High
Computer Vision,BERT-large,NVIDIA V100,eu-west-1,1086,11,116.9,37.8,83.1,Medium
Recommendation,ResNet-101,TPU v4,ap-southeast-1,862,6,39.6,9.4,85.6,Low
Speech Recognition,ViT-Base,NVIDIA V100,us-east-1,761,23,97.2,50.6,78.9,Medium
Speech Recognition,BERT-large,TPU v4,ap-southeast-1,1744,29,150,65,91.5,Low
Speech Recognition,BERT-large,CPU,ap-southeast-1,2411,31,150,65,79.7,High
Speech Recognition,ResNet-101,NVIDIA V100,us-west-2,485,6,24.3,8.8,88,Low
NLP,GPT-3.5,NVIDIA V100,us-east-1,1300,29,150,57.5,89.7,Low
Speech Recognition,ViT-Base,NVIDIA A100,ap-southeast-1,458,33,150,21.2,94,Low
Computer Vision,ResNet-101,NVIDIA A100,eu-west-1,1338,22,106.3,65,97,Low
Speech Recognition,BERT-large,NVIDIA V100,eu-west-1,2119,15,86.1,21.4,92.9,Low
Speech Recognition,BERT-large,TPU v4,ap-southeast-1,1346,33,150,42.8,89.1,Low
Recommendation,GPT-3.5,TPU v4,us-east-1,1469,9,56.2,28.1,89.3,Low
Speech Recognition,GPT-3.5,NVIDIA V100,eu-west-1,2182,9,150,31.5,91.8,Low
NLP,ViT-Base,TPU v4,eu-west-3,2994,5,105.2,19.6,87.9,Low
Recommendation,ResNet-101,CPU,us-west-2,2528,15,39.8,65,70.4,High
NLP,GPT-3.5,NVIDIA V100,eu-west-1,2630,33,150,65,85.3,Low
Recommendation,BERT-base,NVIDIA A100,eu-west-3,2764,23,150,65,84.9,Medium
NLP,BERT-base,NVIDIA V100,us-west-2,1978,7,32.5,35.9,85.4,Low
Computer Vision,ResNet-50,CPU,eu-west-3,1888,17,74,65,67.8,High
Recommendation,ResNet-101,NVIDIA V100,us-west-2,356,17,21.4,23.3,78.3,Medium
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-3,2316,9,123.6,21.3,83.4,Medium
Speech Recognition,ResNet-101,CPU,us-west-2,2611,32,96.7,65,77.8,High
NLP,ResNet-50,TPU v4,ap-southeast-1,2980,10,150,15.5,87.2,Low
Computer Vision,ResNet-50,CPU,us-east-1,2461,22,103.6,65,75,High
Speech Recognition,ViT-Base,NVIDIA RTX 4090,eu-west-3,1247,33,150,26.7,92.5,Low
Speech Recognition,ResNet-101,NVIDIA RTX 4090,eu-west-1,1962,8,111.6,12.1,95.4,Low
Recommendation,ResNet-50,NVIDIA V100,ap-southeast-1,520,3,9.6,3.1,78.2,Medium
NLP,BERT-base,TPU v4,ap-southeast-1,1468,21,150,22.7,89.9,Low
NLP,ViT-Base,NVIDIA V100,eu-west-1,2541,10,150,65,84.7,Medium
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-3,2492,13,150,65,95.2,Low
Recommendation,BERT-large,NVIDIA A100,eu-west-3,1314,11,110.1,16.2,88,Low
Speech Recognition,GPT-3.5,CPU,eu-west-3,1819,24,46.8,65,79.3,High
NLP,ResNet-50,NVIDIA A100,us-east-1,250,32,81,19.9,94.4,Low
Speech Recognition,ResNet-101,CPU,us-east-1,2732,29,150,65,71.9,High
Recommendation,ViT-Base,CPU,ap-southeast-1,1962,13,19.3,65,65.4,High
